raceId,year,round,nameRace,date,time,circuitRef,nameCircuit,location,country,lat,lng,alt
1056,2021,5,Monaco Grand Prix,2021-05-23,13:00:00,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,7.0
1057,2021,6,Azerbaijan Grand Prix,2021-06-06,12:00:00,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7.0
1058,2021,8,Styrian Grand Prix,2021-06-27,13:00:00,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678.0
1059,2021,7,French Grand Prix,2021-06-20,13:00:00,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432.0
1060,2021,9,Austrian Grand Prix,2021-07-04,13:00:00,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678.0
1061,2021,10,British Grand Prix,2021-07-18,14:00:00,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153.0
1062,2021,11,Hungarian Grand Prix,2021-08-01,13:00:00,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264.0
1063,2021,12,Belgian Grand Prix,2021-08-29,13:00:00,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401.0
1064,2021,13,Dutch Grand Prix,2021-09-05,13:00:00,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,6.0
1065,2021,14,Italian Grand Prix,2021-09-12,13:00:00,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162.0
1066,2021,15,Russian Grand Prix,2021-09-26,12:00:00,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2.0
1067,2021,16,Turkish Grand Prix,2021-10-10,12:00:00,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,130.0
1069,2021,17,United States Grand Prix,2021-10-24,19:00:00,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161.0
1070,2021,18,Mexico City Grand Prix,2021-11-07,19:00:00,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2227.0
1071,2021,19,São Paulo Grand Prix,2021-11-14,17:00:00,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,785.0
1072,2021,21,Saudi Arabian Grand Prix,2021-12-05,17:30:00,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,15.0
1073,2021,22,Abu Dhabi Grand Prix,2021-12-12,13:00:00,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3.0
1075,2022,2,Saudi Arabian Grand Prix,2022-03-27,17:00:00,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,15.0
1076,2022,3,Australian Grand Prix,2022-04-10,05:00:00,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10.0
1077,2022,4,Emilia Romagna Grand Prix,2022-04-24,13:00:00,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,37.0
1078,2022,5,Miami Grand Prix,2022-05-08,19:30:00,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,3.0
1079,2022,6,Spanish Grand Prix,2022-05-22,13:00:00,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109.0
1080,2022,7,Monaco Grand Prix,2022-05-29,13:00:00,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,7.0
1081,2022,8,Azerbaijan Grand Prix,2022-06-12,11:00:00,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7.0
1082,2022,9,Canadian Grand Prix,2022-06-19,18:00:00,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,13.0
1083,2022,10,British Grand Prix,2022-07-03,14:00:00,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153.0
1084,2022,11,Austrian Grand Prix,2022-07-10,13:00:00,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678.0
1085,2022,12,French Grand Prix,2022-07-24,13:00:00,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432.0
1086,2022,13,Hungarian Grand Prix,2022-07-31,13:00:00,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264.0
1087,2022,14,Belgian Grand Prix,2022-08-28,13:00:00,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401.0
1088,2022,15,Dutch Grand Prix,2022-09-04,13:00:00,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,6.0
1089,2022,16,Italian Grand Prix,2022-09-11,13:00:00,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162.0
1091,2022,17,Singapore Grand Prix,2022-10-02,12:00:00,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,18.0
1092,2022,18,Japanese Grand Prix,2022-10-09,05:00:00,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,45.0
1093,2022,19,United States Grand Prix,2022-10-23,19:00:00,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161.0
1094,2022,20,Mexico City Grand Prix,2022-10-30,20:00:00,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2227.0
1095,2022,21,Brazilian Grand Prix,2022-11-13,18:00:00,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,785.0
1096,2022,22,Abu Dhabi Grand Prix,2022-11-20,13:00:00,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3.0
